temp,humid,weather,wind,amenity_temp,amenity_humid,aircon,action,cloth,label
1.278,0.924,-2.535,1.240,-0.840,0.281,-1.388,-0.330,-0.019,1.827
1.278,-0.253,-0.957,-0.769,1.315,0.281,-0.083,-0.330,1.409,0.878
0.891,1.219,-0.957,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.931
0.188,0.532,-0.957,1.240,0.237,2.113,-0.083,-0.330,-0.733,-0.018
1.242,0.237,-0.957,-0.769,1.315,2.113,-0.083,-0.330,1.409,0.562
1.031,-1.038,-0.957,3.249,0.237,0.281,-1.388,-0.330,1.409,1.195
1.242,-0.744,-0.957,1.240,1.315,2.113,-0.083,-0.330,1.409,0.773
1.418,-0.646,-0.957,1.240,0.237,2.113,-1.388,-0.330,1.409,1.617
1.629,0.336,-0.957,1.240,1.315,-1.550,-0.083,-0.330,-0.733,1.406
0.996,1.219,-0.957,-0.769,1.315,2.113,-0.083,-0.330,-0.733,0.667
0.715,0.924,-0.957,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.667
1.278,1.513,-0.957,-0.769,0.237,2.113,-1.388,-0.330,-0.733,1.406
0.574,0.924,-0.957,1.240,-0.840,0.281,-1.388,-0.330,-0.733,0.984
1.172,1.415,-0.957,-0.769,1.315,-1.550,-1.388,-0.330,-0.733,0.878
1.418,1.513,-0.957,-0.769,1.315,2.113,-0.083,-0.330,-0.733,1.406
1.664,1.905,-0.957,-0.769,1.315,3.944,-1.388,-0.330,-0.733,1.406
0.715,1.415,-0.957,1.240,0.237,-1.550,-1.388,-0.330,-0.733,1.406
0.363,1.219,-2.535,1.240,-0.840,-1.550,-1.388,-0.330,-0.733,0.773
0.399,0.630,-0.957,1.240,-0.840,-1.550,-1.388,-0.330,-0.733,0.773
1.594,0.237,0.622,1.240,1.315,-1.550,-0.083,-0.330,-0.733,1.406
2.051,-0.351,0.622,1.240,1.315,-1.550,-0.083,-0.330,-0.733,1.406
1.172,0.336,0.622,1.240,0.237,-1.550,-1.388,-0.330,-0.733,1.195
0.610,-2.313,-0.957,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.667
0.926,0.924,-0.957,-0.769,0.237,0.281,-1.388,-0.330,-0.733,1.037
1.102,0.139,-0.957,1.240,1.315,0.281,-1.388,-0.330,1.409,0.931
1.453,-0.351,0.622,-0.769,2.392,-1.550,-0.083,-0.330,1.409,0.984
1.770,0.139,0.622,1.240,1.315,-1.550,-0.083,-0.330,-0.733,1.406
0.961,0.336,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.984
0.363,0.924,0.622,1.240,0.237,2.113,-1.388,-0.330,-0.733,0.140
1.172,-0.351,0.622,-0.769,2.392,2.113,-0.083,-0.330,1.409,0.457
0.750,0.630,0.622,1.240,0.237,0.281,-1.388,-0.330,1.409,0.773
1.102,-0.646,0.622,1.240,0.237,0.281,-0.083,-0.330,1.409,1.195
1.664,-0.057,0.622,1.240,1.315,0.281,-0.083,-0.330,-0.733,1.406
0.821,0.237,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.878
0.680,0.336,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.667
1.313,-0.351,0.622,-0.769,1.315,0.281,-0.083,-0.330,1.409,1.195
0.891,-0.449,0.622,-0.769,0.237,-1.550,-0.083,-0.330,0.695,0.878
1.911,-0.842,0.622,-0.769,2.392,0.281,-0.083,-0.330,1.409,1.406
1.805,-1.332,0.622,1.240,1.315,-1.550,-0.083,-0.330,1.409,1.406
1.207,-0.155,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,1.406
0.680,0.434,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.667
0.785,0.630,0.622,1.240,0.237,0.281,-1.388,-0.330,-0.733,0.667
1.559,-0.449,0.622,-0.769,1.315,0.281,-0.083,-0.330,1.409,1.406
1.559,-0.646,0.622,-0.769,1.315,0.281,-0.083,-0.330,1.409,1.406
1.629,-0.646,0.622,-0.769,1.315,-1.550,-0.083,-0.330,1.409,1.406
1.137,-0.842,0.622,1.240,0.237,0.281,-0.083,-0.330,1.409,1.195
